JSD(I, ja) = 1.000000, distance = 1.000000
JSD(you, ty) = 0.745484, distance = 0.863414
JSD(he, on) = 1.000000, distance = 1.000000
JSD(we, my) = 1.000000, distance = 1.000000
JSD(you, vy) = 0.745484, distance = 0.863414
JSD(they, oni) = 1.000000, distance = 1.000000
JSD(this, tento) = 0.823733, distance = 0.907597
JSD(that, ten) = 0.762627, distance = 0.873285
JSD(here, tu) = 1.000000, distance = 1.000000
JSD(there, tam) = 0.853733, distance = 0.923977
JSD(who, kto) = 0.800000, distance = 0.894427
JSD(what, čo) = 0.800000, distance = 0.894427
JSD(where, kde) = 0.789311, distance = 0.888432
JSD(when, kedy) = 0.857143, distance = 0.925820
JSD(how, ako) = 0.800000, distance = 0.894427
JSD(not, nie) = 0.800000, distance = 0.894427
JSD(all, všetko) = 0.923077, distance = 0.960769
JSD(many, veľa) = 0.763340, distance = 0.873693
JSD(some, niekoľko) = 0.723987, distance = 0.850874
JSD(few, málo) = 0.888889, distance = 0.942809
JSD(other, iný) = 0.928571, distance = 0.963624
JSD(one, jeden) = 0.643044, distance = 0.801900
JSD(two, dva) = 1.000000, distance = 1.000000
JSD(three, tri) = 0.707467, distance = 0.841110
JSD(four, štyri) = 0.796406, distance = 0.892416
JSD(five, päť) = 0.833333, distance = 0.912871
JSD(big, veľký) = 0.884615, distance = 0.940540
JSD(long, dlhý) = 0.818895, distance = 0.904928
JSD(wide, široký) = 0.805464, distance = 0.897476
JSD(thick, hrubý) = 0.854265, distance = 0.924265
JSD(heavy, ťažký) = 0.748495, distance = 0.865156
JSD(small, malý) = 0.346951, distance = 0.589025
JSD(short, krátky) = 0.739552, distance = 0.859972
JSD(narrow, úzky) = 0.888889, distance = 0.942809
JSD(thin, tenký) = 0.729176, distance = 0.853918
JSD(woman, žena) = 0.666667, distance = 0.816497
JSD(man, muž) = 0.760594, distance = 0.872120
JSD(man, človek) = 0.923077, distance = 0.960769
JSD(child, dieťa) = 0.708530, distance = 0.841742
JSD(wife, manželka) = 0.853358, distance = 0.923774
JSD(husband, manžel) = 0.692308, distance = 0.832050
JSD(mother, matka) = 0.799440, distance = 0.894114
JSD(father, otec) = 0.774631, distance = 0.880131
JSD(animal, zviera) = 0.783869, distance = 0.885364
JSD(fish, ryba) = 1.000000, distance = 1.000000
JSD(bird, vták) = 0.888889, distance = 0.942809
JSD(dog, pes) = 1.000000, distance = 1.000000
JSD(louse, voš) = 0.803022, distance = 0.896115
JSD(snake, had) = 0.853733, distance = 0.923977
JSD(worm, červ) = 0.763340, distance = 0.873693
JSD(tree, strom) = 0.623353, distance = 0.789527
JSD(forest, les) = 0.609001, distance = 0.780385
JSD(stick, palica) = 0.699159, distance = 0.836157
JSD(fruit, ovocie) = 0.899720, distance = 0.948536
JSD(seed, semeno) = 0.549262, distance = 0.741122
JSD(leaf, list) = 0.857143, distance = 0.925820
JSD(root, koreň) = 0.691715, distance = 0.831694
JSD(bark, kôra) = 0.512241, distance = 0.715710
JSD(flower, kvet) = 0.887315, distance = 0.941974
JSD(grass, tráva) = 0.708530, distance = 0.841742
JSD(rope, lano) = 0.857143, distance = 0.925820
JSD(skin, koža) = 0.763340, distance = 0.873693
JSD(meat, mäso) = 0.763340, distance = 0.873693
