I	ja
you	ty
he	on
we	my
you	vy
they	oni
this	tento
that	ten
here	tu
there	tam
who	kto
what	čo
where	kde
when	kedy
how	ako
not	nie
all	všetko
many	veľa
some	niekoľko
few	málo
other	iný
one	jeden
two	dva
three	tri
four	štyri
five	päť
big	veľký
long	dlhý
wide	široký
thick	hrubý
heavy	ťažký
small	malý
short	krátky
narrow	úzky
thin	tenký
woman	žena
man	muž
man	človek
child	dieťa
wife	manželka
husband	manžel
mother	matka
father	otec
animal	zviera
fish	ryba
bird	vták
dog	pes
louse	voš
snake	had
worm	červ
tree	strom
forest	les
stick	palica
fruit	ovocie
seed	semeno
leaf	list
root	koreň
bark	kôra
flower	kvet
grass	tráva
rope	lano
skin	koža
meat	mäso
blood	krv
bone	kosť
fat	tuk
egg	vajce
horn	roh
tail	chvost
feather	pero
hair	vlasy
head	hlava
ear	ucho
eye	oko
nose	nos
mouth	ústa
tooth	zub
tongue	jazyk
fingernail	necht
foot	noha
leg	noha
knee	koleno
hand	ruka
wing	krídlo
belly	brucho
guts	vnútornosti
neck	krk
back	chrbát
breast	prsia
heart	srdce
liver	pečeň
drink	piť
eat	jesť
bite	hrýzť
suck	sať
spit	pľuť
vomit	vracať
blow	fúkať
breathe	dýchať
laugh	smiať sa
see	vidieť
hear	počuť
know	vedieť
think	myslieť
smell	čuchať
fear	báť sa
sleep	spať
live	žiť
die	umrieť
kill	zabiť
fight	bojovať
hunt	loviť
hit	udrieť
cut	rezať
split	rozdeliť
stab	bodnúť
scratch	škriabať
dig	kopať
swim	plávať
fly	letieť
walk	ísť
come	prísť
lie	ležať
sit	sedieť
stand	stáť
turn	obrátiť
fall	padať
give	dať
hold	držať
squeeze	stlačiť
rub	trieť
wash	umyť
wipe	utrieť
pull	ťahať
push	tlačiť
throw	hodiť
tie	viazať
sew	šiť
count	počítať
say	povedať
sing	spievať
play	hrať
float	plávať
flow	tiecť
freeze	mrznúť
swell	puchnúť
sun	slnko
moon	mesiac
star	hviezda
water	voda
rain	dážď
river	rieka
lake	jazero
sea	more
salt	soľ
stone	kameň
sand	piesok
dust	prach
earth	zem
cloud	oblak
fog	hmla
sky	obloha
wind	vietor
snow	sneh
ice	ľad
smoke	dym
fire	oheň
ash	popol
burn	horieť
road	cesta
mountain	hora
red	červený
green	zelený
yellow	žltý
white	biely
black	čierny
night	noc
day	deň
year	rok
warm	teplý
cold	studený
full	plný
new	nový
old	starý
good	dobrý
bad	zlý
rotten	zhnitý
dirty	špinavý
straight	priamy
round	okrúhly
sharp	ostrý
dull	tupý
smooth	hladký
wet	mokrý
dry	suchý
correct	správny
near	blízky
far	ďaleký
right	pravý
left	ľavý
at	v
in	v
with	s
and	a
if	ak
because	pretože
name	meno
